Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"February 24, 2017 - December 29, 2017"
Statement,Data,WhenGenerated,"2024-02-24, 03:03:22 EST"
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Lot,Equity and Index Options,USD,DLTR 29DEC17 108.0 P,"2017-12-26, 13:56:25",-5,,0.550552294,-275.276147,0.69,-345,-69.723853,ST
Open Positions,Data,Summary,Equity and Index Options,USD,EXPE 12JAN18 110.0 P,-,-4,100,0.750547675,-300.21907,0.155,-62,238.21907,
Open Positions,Data,Lot,Equity and Index Options,USD,EXPE 12JAN18 110.0 P,"2017-12-05, 10:22:21",-4,,0.750547675,-300.21907,0.155,-62,238.21907,ST
Open Positions,Data,Summary,Equity and Index Options,USD,FB 02FEB18 160.0 P,-,-3,100,0.946243053,-283.872916,1.0824,-324.72,-40.847084,
Open Positions,Data,Lot,Equity and Index Options,USD,FB 02FEB18 160.0 P,"2017-12-27, 15:34:32",-3,,0.946243053,-283.872916,1.0824,-324.72,-40.847084,ST
Open Positions,Data,Summary,Equity and Index Options,USD,FCX 02FEB18 22.5 C,-,-22,100,0.146261535,-321.775377,0.1946,-428.12,-106.344623,
Open Positions,Data,Lot,Equity and Index Options,USD,FCX 02FEB18 22.5 C,"2017-12-27, 13:37:27",-22,,0.146261535,-321.775377,0.1946,-428.12,-106.344623,ST
Open Positions,Data,Summary,Equity and Index Options,USD,FDX 29DEC17 200.0 P,-,-3,100,1.236236357,-370.870907,0,0,370.870907,
Open Positions,Data,Lot,Equity and Index Options,USD,FDX 29DEC17 200.0 P,"2017-11-28, 13:26:36",-3,,1.236236357,-370.870907,0,0,370.870907,ST
Open Positions,Data,Summary,Equity and Index Options,USD,FSLR 12JAN18 45.0 P,-,-11,100,0.415055298,-456.560828,0.0001,-0.11,456.450828,
Open Positions,Data,Lot,Equity and Index Options,USD,FSLR 12JAN18 45.0 P,"2017-12-05, 10:19:34",-11,,0.415055298,-456.560828,0.0001,-0.11,456.450828,ST
Open Positions,Data,Summary,Equity and Index Options,USD,GE 29DEC17 17.5 C,-,-2,100,0.08406292,-16.812584,0,0,16.812584,
Open Positions,Data,Lot,Equity and Index Options,USD,GE 29DEC17 17.5 C,"2017-12-26, 13:56:41",-1,,0.07906292,-7.906292,0,0,7.906292,ST
Open Positions,Data,Lot,Equity and Index Options,USD,GE 29DEC17 17.5 C,"2017-12-26, 13:56:41",-1,,0.08906292,-8.906292,0,0,8.906292,ST
Open Positions,Data,Summary,Equity and Index Options,USD,GILD 09FEB18 66.0 P,-,-8,100,0.626250448,-501.000358,0.643,-514.4,-13.399642,
Open Positions,Data,Lot,Equity and Index Options,USD,GILD 09FEB18 66.0 P,"2017-12-28, 15:41:33",-8,,0.626250448,-501.000358,0.643,-514.4,-13.399642,ST
Open Positions,Data,Summary,Equity and Index Options,USD,GS 19JAN18 280.0 C,-,-2,100,1.08623982,-217.247964,0.2953,-59.06,158.187964,
Open Positions,Data,Lot,Equity and Index Options,USD,GS 19JAN18 280.0 C,"2017-12-12, 14:07:33",-2,,1.08623982,-217.247964,0.2953,-59.06,158.187964,ST
Open Positions,Data,Summary,Equity and Index Options,USD,HAS 02FEB18 85.0 P,-,-6,100,0.80054652,-480.327912,0.7822,-469.32,11.007912,
Open Positions,Data,Lot,Equity and Index Options,USD,HAS 02FEB18 85.0 P,"2017-12-29, 09:47:32",-6,,0.80054652,-480.327912,0.7822,-469.32,11.007912,ST
Open Positions,Data,Summary,Equity and Index Options,USD,HOG 29DEC17 43.0 P,-,-7,100,0.276258531,-193.380972,0,0,193.380972,
Open Positions,Data,Lot,Equity and Index Options,USD,HOG 29DEC17 43.0 P,"2017-11-27, 10:58:53",-1,,0.27925853,-27.925853,0,0,27.925853,ST
Open Positions,Data,Lot,Equity and Index Options,USD,HOG 29DEC17 43.0 P,"2017-11-27, 10:58:53",-5,,0.276258532,-138.129266,0,0,138.129266,ST
Open Positions,Data,Lot,Equity and Index Options,USD,HOG 29DEC17 43.0 P,"2017-11-27, 10:58:20",-1,,0.27325853,-27.325853,0,0,27.325853,ST
Open Positions,Data,Summary,Equity and Index Options,USD,ILMN 02FEB18 190.0 P,-,-3,100,1.40053266,-420.159798,1.4957,-448.71,-28.550202,
Open Positions,Data,Lot,Equity and Index Options,USD,ILMN 02FEB18 190.0 P,"2017-12-27, 14:47:36",-3,,1.40053266,-420.159798,1.4957,-448.71,-28.550202,ST
Open Positions,Data,Summary,Equity and Index Options,USD,ISRG 19JAN18 340.0 P,-,-1,100,3.09749339,-309.749339,2.7906,-279.06,30.689339,
Open Positions,Data,Lot,Equity and Index Options,USD,ISRG 19JAN18 340.0 P,"2017-12-11, 09:49:33",-1,,3.09749339,-309.749339,2.7906,-279.06,30.689339,ST
Open Positions,Data,Summary,Equity and Index Options,USD,JNPR 02FEB18 33.5 C,-,-15,100,0.246259225,-369.388838,0.3456,-518.4,-149.011162,
Open Positions,Data,Lot,Equity and Index Options,USD,JNPR 02FEB18 33.5 C,"2017-12-27, 13:33:24",-4,,0.246259225,-98.50369,0.3456,-138.24,-39.73631,ST
Open Positions,Data,Lot,Equity and Index Options,USD,JNPR 02FEB18 33.5 C,"2017-12-27, 13:33:24",-11,,0.246259225,-270.885148,0.3456,-380.16,-109.274852,ST
Open Positions,Data,Summary,Equity and Index Options,USD,KMX 29DEC17 60.0 P,-,-8,100,0.550552295,-440.441836,0,0,440.441836,
Open Positions,Data,Lot,Equity and Index Options,USD,KMX 29DEC17 60.0 P,"2017-11-28, 11:22:34",-8,,0.550552295,-440.441836,0,0,440.441836,ST
Open Positions,Data,Summary,Equity and Index Options,USD,KR 29DEC17 20.0 P,-,-18,100,0.130561997,-235.011595,0,0,235.011595,
Open Positions,Data,Lot,Equity and Index Options,USD,KR 29DEC17 20.0 P,"2017-11-27, 11:43:55",-18,,0.130561997,-235.011595,0,0,235.011595,ST
Open Positions,Data,Summary,Equity and Index Options,USD,KSS 26JAN18 65.0 C,-,-8,100,0.250559225,-200.44738,0.1631,-130.48,69.96738,
